fund,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,observations,start_date,end_date
base_equity,0.12740680535062943,0.1617886450399351,0.8221919873102791,-0.2032186262691359,735,2021-01-29,2023-12-29
sentiment_equity,0.12140500127044462,0.16059263851935013,0.7938755162769796,-0.2005697115279318,735,2021-01-29,2023-12-29
