fund,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,observations,start_date,end_date
equal_weight,0.18294739289901796,0.21463124391426905,0.8905726584097349,-0.27155573845997705,735,2021-01-29,2023-12-29
min_variance,0.05066589193960502,0.12768366372097414,0.4509220416942551,-0.15417349530689273,735,2021-01-29,2023-12-29
crypto_equal_weight,0.1614456577378658,0.7886722817427795,0.5891831394767768,-0.8159730614257936,1065,2021-01-31,2023-12-31
crypto_min_variance,0.21280911188106577,0.6216511561413129,0.6219728597744167,-0.7560018787057716,1065,2021-01-31,2023-12-31
