date,sector,sentiment_index,headline_count,ticker_count
2020-01-03,Comm,0.10897499999999999,11,4
2020-01-03,Consumer,-0.06894547619047618,22,5
2020-01-03,Energy,0.19246166666666667,21,5
2020-01-03,Financials,0.10718533333333333,12,5
2020-01-03,Healthcare,0.21549047619047618,23,5
2020-01-03,Industrials,0.08408,13,5
2020-01-03,Materials,0.18291666666666664,7,3
2020-01-03,RealEstate,0.018100000000000005,3,2
2020-01-03,Tech,0.07698871794871795,25,4
2020-01-03,Utilities,0.6369,1,1
2020-01-06,Comm,0.135575,3,2
2020-01-06,Consumer,-0.21779166666666666,10,4
2020-01-06,Energy,-0.046189727272727285,28,5
2020-01-06,Financials,0.08409166666666668,8,3
2020-01-06,Healthcare,0.2093875,6,2
2020-01-06,Industrials,-0.1561,7,4
2020-01-06,Materials,-0.07075000000000001,3,2
2020-01-06,RealEstate,-0.06403333333333334,5,3
2020-01-06,Tech,0.09808526785714286,17,4
2020-01-06,Utilities,0.14085,4,2
2020-01-07,Comm,0.1738097222222222,16,3
2020-01-07,Consumer,0.10678931372549019,44,5
2020-01-07,Energy,0.08543969696969697,34,5
2020-01-07,Financials,0.284306,12,5
2020-01-07,Healthcare,0.32718,12,5
2020-01-07,Industrials,0.0735287037037037,14,3
2020-01-07,Materials,-0.069765,9,4
2020-01-07,RealEstate,0.148,4,3
2020-01-07,Tech,-0.013116666666666676,13,5
2020-01-07,Utilities,0.011312500000000003,6,4
2020-01-08,Comm,0.29263333333333336,5,3
2020-01-08,Consumer,0.1472385,22,5
2020-01-08,Energy,0.07934999999999999,12,3
2020-01-08,Financials,0.140525,11,4
2020-01-08,Healthcare,0.10863733333333334,15,5
2020-01-08,Industrials,0.030057142857142855,13,4
2020-01-08,Materials,0.12726666666666667,3,3
2020-01-08,RealEstate,0.0,2,2
2020-01-08,Tech,0.00910267857142857,21,4
2020-01-08,Utilities,0.6369,1,1
2020-01-09,Comm,0.1929775,20,4
2020-01-09,Consumer,0.0717625,16,4
2020-01-09,Energy,-0.018874999999999986,17,5
2020-01-09,Financials,0.4676833333333333,4,3
2020-01-09,Healthcare,0.25715185185185185,13,3
2020-01-09,Industrials,0.020342857142857138,12,3
2020-01-09,Materials,-0.09959999999999998,6,2
2020-01-09,RealEstate,-0.10079999999999999,3,2
2020-01-09,Tech,0.087443125,22,4
2020-01-09,Utilities,0.27973333333333333,3,3
2020-01-10,Comm,0.16018,6,5
2020-01-10,Consumer,0.2834562698412698,25,5
2020-01-10,Energy,0.10351000000000002,10,4
2020-01-10,Financials,0.26152933333333334,11,5
2020-01-10,Healthcare,0.15904444444444446,8,3
2020-01-10,Industrials,0.033716666666666666,9,5
2020-01-10,Materials,0.04242222222222222,6,3
2020-01-10,RealEstate,0.0,1,1
2020-01-10,Tech,0.09154333333333334,17,5
2020-01-10,Utilities,0.074,5,4
2020-01-13,Comm,0.03584583333333334,8,4
2020-01-13,Consumer,0.004144000000000004,15,5
2020-01-13,Energy,0.07396200000000001,15,5
2020-01-13,Financials,0.21935833333333332,7,3
2020-01-13,Healthcare,0.24778000000000003,12,5
2020-01-13,Industrials,0.09254999999999998,8,3
2020-01-13,Materials,-0.10715,4,4
2020-01-13,RealEstate,-0.08412,6,5
2020-01-13,Tech,0.30686583333333334,21,4
2020-01-13,Utilities,0.15612083333333332,7,4
2020-01-14,Comm,0.0015479166666666697,14,2
2020-01-14,Consumer,0.08908528571428571,29,5
2020-01-14,Energy,0.13454349999999998,19,5
2020-01-14,Financials,0.19619,33,5
2020-01-14,Healthcare,0.13385750000000002,24,5
2020-01-14,Industrials,0.07404583333333334,10,4
