date,fund,daily_return,growth_1
2021-01-29,equal_weight,-0.0076170751428229,0.992382924857177
2021-02-01,equal_weight,0.017435452117015346,1.0096855698252678
2021-02-02,equal_weight,0.021403561784053598,1.0312964373014903
2021-02-03,equal_weight,0.00942780995715251,1.0410193041218572
2021-02-04,equal_weight,0.004677017929212066,1.0458881700718912
2021-02-05,equal_weight,0.01929836944865081,1.066072106379912
2021-02-08,equal_weight,0.027651562421706587,1.0955506657755163
2021-02-09,equal_weight,0.008633479616969735,1.105009080117847
2021-02-10,equal_weight,0.008348949512855612,1.114234745138998
2021-02-11,equal_weight,0.012119537999230365,1.1277387554727727
2021-02-12,equal_weight,0.012771234706878482,1.1421413718069584
2021-02-16,equal_weight,0.0025962100010159797,1.1451066106590178
2021-02-17,equal_weight,0.00907787279586501,1.1555017428082843
2021-02-18,equal_weight,-0.0044465121074210336,1.1503637903187411
2021-02-19,equal_weight,0.00908485215560188,1.1608146752789448
2021-02-22,equal_weight,-0.007699602797602624,1.1518768633576688
2021-02-23,equal_weight,-0.026107713165073612,1.121803992607642
2021-02-24,equal_weight,0.018758703010906316,1.1428475805414176
2021-02-25,equal_weight,-0.02413005959171149,1.1152706003187098
2021-02-26,equal_weight,-0.010366431104046593,1.1037092244781372
2021-03-01,equal_weight,0.02495831427882419,1.1312559461750997
2021-03-02,equal_weight,-0.004995095667853324,1.1256052144991273
2021-03-03,equal_weight,-0.0003332089387182856,1.1252301527801882
2021-03-04,equal_weight,-0.009153766461762131,1.1149300587459055
2021-03-05,equal_weight,0.013226334721981777,1.1296764968944777
2021-03-08,equal_weight,0.01110481194769099,1.1422213419542173
2021-03-09,equal_weight,0.013254338704809366,1.1573607304963405
2021-03-10,equal_weight,0.003480025766252344,1.1613883756593164
2021-03-11,equal_weight,0.004812708500153619,1.1669777993668318
2021-03-12,equal_weight,0.0025552918773153054,1.1699597682585612
2021-03-15,equal_weight,0.0030807792288764357,1.1735641560112333
2021-03-16,equal_weight,0.007015489487125954,1.181797283010198
2021-03-17,equal_weight,0.006925596336963362,1.1899819339444466
2021-03-18,equal_weight,-0.015048507897716851,1.1720744814133432
2021-03-19,equal_weight,-0.0007063611481626319,1.17124657353692
2021-03-22,equal_weight,0.00038502157330753007,1.1716975287353941
2021-03-23,equal_weight,-0.005565115183487835,1.1651768970277736
2021-03-24,equal_weight,-0.013883901971090514,1.1489996952104606
2021-03-25,equal_weight,0.005753612949812869,1.1556105947361546
2021-03-26,equal_weight,0.030944681028176855,1.1913705959830465
2021-03-29,equal_weight,0.006404448509262995,1.1990006676204699
2021-03-30,equal_weight,-0.000541811698109912,1.1983510350327113
2021-03-31,equal_weight,0.010304119991946515,1.2106989878901617
2021-04-01,equal_weight,0.01467257875786394,1.2284630641420462
2021-04-05,equal_weight,0.038553508212768775,1.2758246249745298
2021-04-06,equal_weight,0.00596644009902612,1.2834367561763027
2021-04-07,equal_weight,-0.013625912450554611,1.2659487593008205
2021-04-08,equal_weight,0.010035511307399434,1.278653202389372
2021-04-09,equal_weight,-0.00226463760814772,1.2757575162594623
2021-04-12,equal_weight,0.019104916427225033,1.3001307569890035
2021-04-13,equal_weight,0.019726945162833895,1.3257783651366393
2021-04-14,equal_weight,0.007179858177289761,1.3352972657728395
2021-04-15,equal_weight,0.018026410097255228,1.3593678818874042
2021-04-16,equal_weight,0.010810640530123877,1.3740635194066848
2021-04-19,equal_weight,-0.029603898591889437,1.3333858823193547
2021-04-20,equal_weight,-0.0017194123355581913,1.3310932421852357
2021-04-21,equal_weight,0.002052752340624871,1.3338256469537213
2021-04-22,equal_weight,-0.016198577187720494,1.3122195692565803
2021-04-23,equal_weight,0.00464427141559037,1.3183138730930568
2021-04-26,equal_weight,0.011137860431732094,1.3329970690167834
2021-04-27,equal_weight,0.007995005006577838,1.343654387257326
2021-04-28,equal_weight,0.0006928192729146085,1.3445852969129541
2021-04-29,equal_weight,0.005640496360681097,1.352169425386817
2021-04-30,equal_weight,0.007084977550949063,1.3617495154107624
2021-05-03,equal_weight,0.020373007718714642,1.389492448799182
2021-05-04,equal_weight,-0.005648499007211003,1.3816439020816127
2021-05-05,equal_weight,0.04372333086818185,1.442053975554333
2021-05-06,equal_weight,0.02255009727366065,1.4745724329769523
2021-05-07,equal_weight,0.0018000016406711924,1.4772266657755992
2021-05-10,equal_weight,-0.009076021603837012,1.4638193246432558
2021-05-11,equal_weight,0.012826295389902969,1.4825947036985785
2021-05-12,equal_weight,-0.0431285166313494,1.4186525933625638
2021-05-13,equal_weight,0.01742943796387151,1.443378910730862
2021-05-14,equal_weight,0.02061759877097845,1.473137917986803
2021-05-17,equal_weight,-0.01411302144845739,1.4523474909537193
2021-05-18,equal_weight,-0.0043586035107385755,1.446017284080836
2021-05-19,equal_weight,-0.05502496853780313,1.3664502285191684
2021-05-20,equal_weight,0.031663435606871106,1.4097167373398793
2021-05-21,equal_weight,-0.02149782473760328,1.3794108939908807
2021-05-24,equal_weight,0.01190549056287292,1.3958334573716131
2021-05-25,equal_weight,-0.004097105160568199,1.3901145809101223
2021-05-26,equal_weight,0.014872081029443263,1.410788477597628
2021-05-27,equal_weight,-0.003959701442402554,1.4052021764279599
2021-05-28,equal_weight,-0.011492925379301376,1.3890522926714415
2021-06-01,equal_weight,0.014216794832814541,1.4088001641284018
2021-06-02,equal_weight,0.005887695082374622,1.417094749926789
2021-06-03,equal_weight,0.006975701709594549,1.4269799801965108
2021-06-04,equal_weight,-0.006163965303206664,1.4181841251102092
2021-06-07,equal_weight,-0.01751780740132866,1.3933406487469067
2021-06-08,equal_weight,-0.0023711545670709786,1.3900368227041449
2021-06-09,equal_weight,0.00730270725769867,1.4001878546977748
2021-06-10,equal_weight,-0.004799715458690144,1.3934673514065117
2021-06-11,equal_weight,-0.00592956646844019,1.3852046941247453
2021-06-14,equal_weight,0.009842393544004222,1.398838423863323
2021-06-15,equal_weight,0.0008401618357092005,1.4000136745213765
2021-06-16,equal_weight,-0.018244472644723612,1.3744711633343323
2021-06-17,equal_weight,-0.00557070013661229,1.3668143966369761
2021-06-18,equal_weight,-0.022182970428932653,1.3364943932945386
2021-06-21,equal_weight,-0.018764461145278216,1.3114157961806812
2021-06-22,equal_weight,-0.004652135019746892,1.3053149128298198
2021-06-23,equal_weight,0.011425151616436098,1.3202283336160956
2021-06-24,equal_weight,0.01693102791334944,1.3425811563845444
2021-06-25,equal_weight,-0.006932437710560349,1.3332737961465364
2021-06-28,equal_weight,0.012936398443941875,1.3505215572083549
2021-06-29,equal_weight,0.012414481983307891,1.3672875827483868
2021-06-30,equal_weight,0.0053687652260581194,1.3746282287766673
2021-07-01,equal_weight,-0.003319276751580385,1.3700654572548228
2021-07-02,equal_weight,0.004263327713458631,1.3759064952879898
2021-07-06,equal_weight,-0.004984013229586039,1.369048959112801
2021-07-07,equal_weight,-0.002181279266246694,1.3660626810038117
2021-07-08,equal_weight,-0.014100931368607784,1.3467999248937605
2021-07-09,equal_weight,0.015525252970304144,1.3677093344281226
2021-07-12,equal_weight,-0.0008772979422356884,1.3665094458434524
2021-07-13,equal_weight,-0.009426809800300116,1.3536276212071727
2021-07-14,equal_weight,-0.0002584936544460202,1.353277717056608
2021-07-15,equal_weight,-0.006653536534465437,1.3442736343248938
2021-07-16,equal_weight,-0.011967131418521897,1.3281865350804738
